2984453083,133937189,5292,15327,134895,433759,2781208,8909229,134786135,1190944646,139953472,245315066,933493001,178974444,9572380,4162215,685667,287823,43409,17926,
658673307,31774702,1352,3536,30769,91341,609660,1870627,28658798,258602187,35281867,54569091,204512797,39371702,2091650,966040,152341,69673,10445,4729,
455733107,23107584,1016,2457,21356,60246,412062,1242805,19157088,176156125,27057778,38799486,140645557,26797410,1426736,679972,104216,50128,7306,3779,
216070369,11778062,488,1051,10069,27892,195050,578091,9153972,81059475,12334616,22198293,65033833,12603313,683742,332584,49856,24441,3592,1949,
150949667,8296773,354,760,7262,22446,157745,456194,6686920,55250961,8316391,17568900,43960655,9273452,587257,293849,46737,18840,2676,1495,
69224428,3885719,160,388,3614,15622,96494,252458,3004021,25130728,3867042,8348906,19779026,4233688,342101,208004,42610,11741,1354,752,
49898516,2902842,137,316,3092,15395,88126,211541,2127572,18016547,2807370,6128086,13991548,3042478,293219,205875,51142,11394,1236,600,
21429531,1296327,45,166,1591,8824,45606,98992,877864,7698243,1214966,2687721,5947623,1266259,133164,112071,32484,6643,665,277,
15978058,994348,35,114,1282,7318,35674,72381,627458,5715222,910326,2044217,4431698,915311,96570,90687,28794,5818,588,217,
6184614,399696,12,55,540,2961,13623,27536,229659,2201931,354643,809838,1713308,341704,36972,36495,12576,2712,266,87,
4803952,319614,15,36,418,2319,10672,20697,171262,1703217,276361,638945,1329923,259839,28389,29555,10142,2214,245,89,
1626123,111616,8,10,129,797,3541,6874,54817,573124,94076,222256,449335,84934,9713,10231,3709,828,88,37,
1332349,94165,4,15,112,673,2973,5560,43135,467514,77070,185270,367858,67338,7868,8765,3205,704,86,34,
386549,28064,1,4,25,202,822,1589,11598,134957,22419,55171,106597,18912,2265,2654,1030,219,13,7,
520965,39577,1,4,57,255,1124,2044,14816,180361,30115,76394,143264,24245,2996,3864,1449,345,44,10,
